Year,pH,Conductivity,BOD,COD,DO,Ammonia,Total Dissolved Solids,Total Suspended Solids,Total Hardness,Fluoride,Boron,Chloride,Sulphate,Calcium,Magnesium,Nickel,Copper,Chromium,Zinc,Lead,Iron,Total Coliform MPN/100ml,Faecal Coliform MPN/100ml,Nitrate-N,TKN,Total Fixed Solids,Turbidity,Total Alkalinity,P- Alkalinity,Phosphate,Sodium,Potassium
2020,7.69,861,0.0,0.0,0,0,0,0,270,0.14,0,132,0.0,71.2,22.356,0.0,0.0,0,0.0,0.0,0.213,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2020,8.23,752,0.0,0.0,0,0,408,0,268,0.95,0,16,0.0,75.2,19.4,0.0,0.0,0,0.0,0.002,0.0,140,0,0.49,0,188,0.0,128,0,0,61,0.8
2021,8.52,745,1.6,12.0,0,0,402,0,270,0.76,0,128,66.66,76,19.44,0.0,0.0,0,0.0,0.0,0.0,0,0,0.31,0,0,0.0,36,0,0.04,0,0.0
0,8.04,870,1.4,8.0,7.3,0,452,0,272,0.46,0,224,50.2,77.6,18.954,0.0,0.0,0,0.0,0.0,0.0,0,0,0.58,0,0,0.0,96,0,0.01,16,0.3
2022,7.78,816,0.0,0.0,0,0,480,0,228,0.16,0,28,24.68,64,16.524,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,48,0,0.0,3.8,0.8
2023,7.5,1440,0.0,0.0,0,0,784,0,496,0.68,0,16,17.83,139.2,35.964,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,150,0.0,0,0,0.02,3,0.6
2024,7.89,1248,1.0,21.0,0,0,722,0,432,0.41,0,233,51.27,120.0,35.68,0.0,0.0,0,0.0,0.0,0.13,0,0,0.4,0,0,0.0,0,0,0.0,0,0.0
2025,7.63,1321,0.0,22.0,0,0,748,0,436,0.36,0,241,0.0,113.0,32.21,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2026,7.9,1212,0.0,0.0,0,0,747,0,448,0.38,0,237,0.0,123.0,34.09,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2027,7.74,1265,0.0,20.0,0,0,749,0,440,0.33,0,226,0.0,116.0,33.15,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2028,7.76,1279,0.0,0.0,0,0,764,0,422,0.38,0,253,0.0,115.0,34.51,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2029,7.79,1221,0.0,0.0,0,0,741,0,434,0.36,0,232,0.0,118.0,33.62,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2030,7.8,1321,0.0,0.0,0,0,764,0,446,0.37,0,246,0.0,118.0,35.02,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2031,7.74,1265,0.0,0.0,0,0,736,0,437,0.38,0,240,0.0,115.0,33.2,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2032,7.86,1278,0.0,0.0,0,0,748,0,431,0.35,0,236,0.0,118.0,34.15,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
2033,7.76,1248,0.0,0.0,0,0,740,0,441,0.34,0,237,0.0,116.0,33.81,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
